NOC 2021 Code,Occupation Title,Occupation Summary
51102,Archivists,"Archivists manage, process, store and disseminate information contained in an organization's archives. They acquire, store and research textual material, pictures, maps, architectural documents, electronic materials, films and videos, and sound recordings and multimedia materials. They are employed in archives, in the public and para-public sectors and in private sector organizations."
51110,Editors,"Editors review, evaluate and edit manuscripts, articles, news reports and other material for publication, broadcast or interactive media and coordinate the activities of writers, journalists and other staff. They are employed by publishing firms, magazines, journals, newspapers, radio and television networks and stations, and by companies and government departments that produce publications such as newsletters, handbooks, manuals and Web sites. Editors may also work on a freelance basis."
51111,Authors and writers (except technical),"Authors and writers plan, research and write books, scripts, storyboards, plays, essays, speeches and other non-journalistic articles for publication or presentation. They are employed by advertising agencies, governments, large corporations, private consulting firms, publishing firms, multimedia/new-media companies and other establishments, or they may be self-employed."
51112,Technical writers,"Technical writers write manuals and specifications for publication or presentation. They are employed by governments, large corporations, private consulting firms, publishing firms, and other establishments, or they may be self-employed."
51113,Journalists,"Journalists research, investigate, interpret and communicate news and public affairs through newspapers, television, radio and other media. They are employed by radio and television networks and stations, newspapers and magazines. Journalists may also work on a freelance basis."
51114,"Translators, terminologists and interpreters","Translators translate written material from one language to another. Interpreters translate oral communication from one language to another during speeches, meetings, conferences, debates and conversation, or in court or before administrative tribunals. Terminologists conduct research to itemize terms connected with a certain field, define them and find equivalents in another language. Sign language interpreters use sign language to translate spoken language and vice versa during meetings, conversations, television programs or in other instances. Translators, terminologists and interpreters are employed by government, private translation and interpretation agencies, in-house translation services, large private corporations, international organizations and the media, or they may be self-employed. Sign language interpreters work in schools and courts, and for social service agencies, interpretation services, government services and television stations, or they may be self-employed."
51120,"Producers, directors, choreographers and related occupations","Producers, directors, choreographers and professionals in related occupations oversee and control the technical and artistic aspects of film, television, video game, radio, dance and theatre productions. They are employed by film production companies, radio and television stations, video game companies, broadcast departments, advertising companies, sound recording studios, record production companies and dance companies. They may also be self-employed."
51121,"Conductors, composers and arrangers","Conductors, composers and arrangers conduct bands and orchestras, compose musical works and arrange instrumental and vocal compositions. They are employed by symphony and chamber orchestras, bands, choirs, sound recording companies, and orchestras for ballet and opera performances, or they may be self-employed."
51122,Musicians and singers,"Musicians and singers perform with orchestras, choirs, opera companies and popular bands in establishments such as concert halls, lounges and theatres and in film, television and recording studios. This unit group also includes music teachers who usually teach in conservatories, academies and private homes."
52100,Library and public archive technicians,"Library and public archive technicians assist users in accessing library or archive resources, assist in describing new acquisitions, participate in archive processing and storage, and conduct reference searches. They are employed by libraries and public archives."
52110,Film and video camera operators,"Film and video camera operators operate motion picture and video cameras and related equipment to record news, live events, films, videos and television broadcasts. They are employed by television networks and stations, motion picture and video production companies and in-house communications facilities of large corporations."
52111,Graphic arts technicians,"Graphic arts technicians assist in conceptualizing a project, interpreting design specifications or sketches, preparing the page make-up, lay-out and lettering, and preparing production materials for press, electronic or multimedia publishing. They are employed by publishing, communications, advertising, marketing, printing and multimedia establishments, and by television and film production companies. They may also be self-employed."
52112,Broadcast technicians,"Broadcast technicians install, set up, test, operate and repair electronic equipment used to record and transmit live and taped radio and television programs and to produce audio and video streaming broadcasts for the Internet. They are employed by radio and television broadcasting networks and stations, by broadcast equipment companies and by Internet-based communication providers."
52113,Audio and video recording technicians,"Audio and video recording technicians operate equipment to record, mix and edit sound, music and videotape, for motion pictures, television and radio programs, videos, recordings and live events. They are employed by multimedia companies, film, video and concert production companies, sound recording firms, theatre and dance companies, educational establishments, clubs, hotels, bands, radio stations, television networks and video production and editing companies."
52114,Announcers and other broadcasters,"Announcers and other broadcasters read news, sports, weather, commercial and public service messages and host entertainment and information programs for broadcast on radio or television. They are primarily employed by radio and television stations and networks and by commercial firms that produce advertisements for radio or television."
52119,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","Workers in other technical and coordinating occupations in motion pictures, broadcasting and the performing arts coordinate and perform specific activities for television, radio and motion picture productions, news broadcasts, theatre and stage productions, and other live or recorded productions. They are employed by television and radio stations and networks, recording studios, motion picture and video production companies, concert promoters and theatre, stage and dance companies."
52120,Graphic designers and illustrators,"Graphic designers conceptualize and produce graphic art and visual materials to effectively communicate information for publications, advertising, films, packaging, posters, signs and interactive media such as Web sites and CDs. They are employed by advertising and graphic design firms, by establishments with advertising or communications departments and by multimedia production companies, or they may be self-employed. Graphic designers who are also supervisors, project managers or consultants are included in this unit group. Illustrators conceptualize and create illustrations to represent information through images. They are almost solely self-employed."
52121,Interior designers and interior decorators,"Interior designers and interior decorators conceptualize and produce aesthetic, functional and safe designs for interior spaces in residential, commercial, cultural, institutional and industrial buildings. They are employed by architectural and interior design firms, retail establishments, construction companies, hospitals, airlines, hotel and restaurant chains, and other establishments, or they may be self-employed."
53100,"Registrars, restorers, interpreters and other occupations related to museum and art galleries","Registrars, restorers, interpreters and workers in other occupations related to museums and art galleries classify and catalogue museum artifacts and gallery works of art, construct and install exhibits and displays, restore, maintain and store museum and gallery collections, frame artwork, and perform other functions in support of curatorial and conservation activities. They are employed in museums and galleries. Picture framers and taxidermists may also be employed in retail settings or may be self-employed. This unit group also includes museum and other interpreters who conduct guided tours. They are employed by art galleries, museums, parks, aquariums, zoos, interpretive centres, botanical gardens, cultural centres, nature sanctuaries, historic and heritage sites, and other locations."
53110,Photographers,"Photographers operate still cameras to photograph people, events, scenes, materials, products and other subjects. They are employed by photographic studios, newspapers, magazines, museums and government, or they may be self-employed."
53111,"Motion pictures, broadcasting, photography and performing arts assistants and operators","Assistants and operators in motion pictures, broadcasting, photography and the performing arts perform duties related to these fields. They are employed by television and radio stations and networks, recording studios, motion picture and video production companies and by theatre and stage companies."
53120,Dancers,"Dancers are employed by ballet and dance companies, television and film productions and nightclubs and similar establishments. This unit group also includes dance teachers who are usually employed by dance academies and dance schools."
53121,"Actors, comedians and circus performers","Actors, comedians and circus performers perform roles and circus skills in circuses, motion picture, television, theatre and radio productions to entertain a variety of audiences. They are employed by motion picture, television, circuses, theatre and other production companies. This unit group includes acting teachers employed by private acting schools."
53122,"Painters, sculptors and other visual artists","Painters, sculptors and other visual artists create original paintings, drawings, sculptures, engravings and other artistic works. They are usually self-employed. This unit group also includes art instructors and teachers, who are usually employed by art schools."
53123,"Theatre, fashion, exhibit and other creative designers","Theatre, fashion, exhibit and other creative designers conceptualize and produce designs for film, television, theatre and video productions, garments and textiles, displays and exhibits, and for other creative items such as jewellery and trophies. Theatre designers are employed by performing arts and broadcasting companies and by festivals; fashion designers are employed by clothing and textile companies or may be self-employed; and exhibit designers are employed by museums. Other creative designers in this unit group are employed by manufacturing establishments or may be self-employed."
53124,Artisans and craftspersons,"Artisans and craftspersons use manual and artistic skills to design and make ornamental objects, pottery, stained glass, jewellery, rugs, blankets, other handicrafts and artistic floral arrangements. Makers of musical instruments are also included in this unit group. Most craftspersons are self-employed. Artistic floral arrangers are usually employed in florist shops and floral departments of retail establishments, or may be self-employed. Craft instructors are also included in this unit group and are employed by artisan guilds, colleges, private studios and recreational organizations."
53125,"Patternmakers - textile, leather and fur products","Patternmakers in textile, leather and fur products create master patterns for the production of garments, footwear and other textile, leather or fur products. They are employed by pattern manufacturers, textile, leather or fur products manufacturers, or they may be self-employed."
53200,Athletes,"Athletes participate in competitive sports events on an amateur or professional basis. They play team sports such as hockey, baseball, football and lacrosse; or compete in individual sports such as skiing, figure skating, boxing or track and field; or in games such as poker or chess. They are employed by professional team organizations or they may be self-employed."
53201,Coaches,"Coaches prepare and train individual athletes or teams for competitive events. They are employed by national and provincial sports organizations, professional and amateur sports teams, sports clubs and universities or they may be self-employed. This unit group also includes sports scouts who identify and recruit athletes for professional sports teams. They are employed by professional sports organizations."
53202,Sports officials and referees,"Sports officials and referees observe and enforce rules and regulations governing sporting events, athletic games and sports competitions. They are employed by national, provincial and local sporting commissions, organizations and leagues."
54100,"Program leaders and instructors in recreation, sport and fitness","Program leaders and instructors in recreation, sport and fitness lead and instruct groups and individuals in recreational, sports, fitness or athletic programs. Fitness appraisers conduct fitness tests and assessments and design, develop and deliver fitness programs. They are employed by community centres, sports and fitness clubs, outdoor centres, resorts, recreational facilities, health care facilities, retirement homes, correctional institutions, government departments, private businesses, tourism associations and similar establishments."
55109,Other performers,"Other performers include influencers, magicians, models, puppeteers and other performers. They are employed by nightclubs and theatre, advertising and other production companies, or they may be self-employed."
60010,Corporate sales managers,"Corporate sales managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial, institutional, e-business and wholesale and retail sales. They are employed by commercial, industrial and wholesale and retail trade establishments."
60020,Retail and wholesale trade managers,"Retail and wholesale trade managers plan, organize, direct, control and evaluate the operations of establishments that sell merchandise or services on a retail or wholesale basis. They are employed by retail and wholesale sales establishments or they may own and operate their own store."
60030,Restaurant and food service managers,"Restaurant and food service managers plan, organize, direct, control and evaluate the operations of restaurants, bars, cafeterias and other food and beverage services. They are employed in food and beverage service establishments, or they may be self-employed."
60031,Accommodation service managers,"Accommodation service managers plan, organize, direct, control and evaluate the operations of an accommodation establishment or of a department within such an establishment. They are employed by hotels, motels, resorts, student residences and other accommodation establishments, or they may be self-employed."
60040,Managers in customer and personal services,"Managers in customer and personal services provide services such as dry cleaning, hairdressing or residential cleaning. This group also includes managers of schools that provide non-vocational instruction in driving, languages, music, dance, art, cooking or fashion."
62010,Retail sales supervisors,"Retail sales supervisors supervise and coordinate the activities of workers in the following unit groups: Retail salespersons and visual merchandisers (64100), Cashiers (65100), Store shelf stockers, clerks and order fillers (65102) and Other sales related occupations (65109). They are employed by stores and other retail businesses, wholesale businesses that sell on a retail basis to the public, rental service establishments and businesses involved in door-to-door soliciting and telemarketing."
62020,Food service supervisors,"Food service supervisors supervise, direct and coordinate the activities of workers who prepare, portion and serve food. They are employed by hospitals and other health care establishments and by cafeterias, catering companies and other food service establishments."
62021,Executive housekeepers,"Executive housekeepers direct and control the operations of housekeeping departments within hotels, hospitals and other establishments."
62022,"Accommodation, travel, tourism and related services supervisors","Accommodation, travel, tourism and related services supervisors supervise and coordinate the activities of hotel accommodation service clerks, casino workers, reservation clerks and other travel and accommodations workers not elsewhere classified. They are employed by service establishments throughout the public and private sectors."
62023,Customer and information services supervisors,"Customer and information services supervisors supervise and coordinate the activities of workers in the following unit groups: Customer service representatives - financial institutions (64400) and Other customer and information services representatives (64409). They are employed by banks, trust companies, credit unions and similar financial institutions, retail establishments, contact centres, insurance, telephone and utility companies and other establishments throughout the public and private sectors."
62024,Cleaning supervisors,"Cleaning supervisors supervise and coordinate the activities of workers in the following unit groups: Light duty cleaners (65310), Specialized cleaners (65311), and Janitors, caretakers and building superintendents (73201). They are employed by hospitals and other health care institutions, hotels, motels, schools and other educational institutions, commercial and industrial establishments, home and office cleaning establishments and by various specialized cleaning companies."
62029,Other services supervisors,"Other services supervisors supervise and coordinate the activities of dry cleaning, laundry, ironing, pressing and finishing workers, theatre ushers and attendants, spa, sports and recreation club workers, commissionaires, security guards and other service workers. They are employed by service establishments throughout the public and private sectors."
62100,Technical sales specialists - wholesale trade,"Technical sales specialists in wholesale trade, sell a range of technical goods and services, such as scientific, agricultural and industrial products, electricity, telecommunications services and computer services, to governments and to commercial and industrial establishments in domestic and international localities. They are employed by establishments that produce or provide technical goods and services, such as pharmaceutical companies, industrial equipment manufacturing companies, grain elevators, computer services firms, engineering firms and hydroelectric companies, or they may be self-employed technical sales specialists/agents who contract their services to other companies. Technical sales specialists in wholesale trade who are supervisors are included in this unit group."
62101,Retail and wholesale buyers,Retail and wholesale buyers buy merchandise for resale by retail or wholesale establishments and are usually responsible for the merchandising operations of retail or wholesale establishments. Retail and wholesale buyers who are supervisors and those who are assistants are included in this unit group.
62200,Chefs,"Chefs plan and direct food preparation and cooking activities and who prepare and cook meals and specialty foods. They are employed in restaurants, hotels, hospitals and other health care institutions, central food commissaries, clubs and similar establishments, and on ships."
62201,Funeral directors and embalmers,Funeral directors coordinate and arrange all aspects of funeral services. Embalmers prepare the remains of deceased persons for public visitation and burial. Funeral directors and embalmers are employed by funeral homes.
62202,"Jewellers, jewellery and watch repairers and related occupations","Jewellers and workers in related occupations fabricate, assemble, repair and appraise fine jewellery. Watch repairers and related workers repair, clean, adjust and fabricate parts for clocks and watches. They are employed by jewellery, clock and watch manufacturers and retail stores, by jewellery and watch repair shops or they may be self-employed."
63100,Insurance agents and brokers,"Insurance agents and brokers sell life, automobile, property, health and other types of insurance to individuals, businesses and public institutions. Insurance agents are employed by individual insurance companies or are independent representatives of specific insurance companies. Insurance brokers are employed by brokerage firms, or may work in partnerships or hold sole proprietorship. Supervisors of insurance agents are included in this unit group."
63101,Real estate agents and salespersons,"Real estate agents and salespersons act as agents for the sale or purchase of houses, apartments, commercial buildings, land and other real estate. They are employed in the real estate industry."
63102,Financial sales representatives,"Financial sales representatives sell basic deposit, investment and loan products and services to individuals and businesses. They work in banks, credit unions, trust companies and similar financial institutions."
63200,Cooks,"Cooks prepare and cook a wide variety of foods. They are employed in restaurants, hotels, hospitals and other health care institutions, central food commissaries, educational institutions and other establishments. Cooks are also employed aboard ships and at construction and logging campsites. Apprentices are also included in this unit group."
63201,Butchers - retail and wholesale,"Butchers prepare standard and specialty cuts of meat, poultry, fish and shellfish for sale in retail or wholesale food establishments. They are employed in supermarkets, grocery stores, butcher shops and fish stores or may be self-employed. Butchers who are supervisors or heads of departments are included in this unit group. Apprentices are also included in this unit group."
63202,Bakers,"Bakers prepare bread, rolls, muffins, pies, pastries, cakes and cookies in retail and wholesale bakeries and dining establishments. They are employed in bakeries, supermarkets, catering companies, hotels, restaurants, hospitals, and other institutions, or they may be self-employed. Bakers who are supervisors are included in this unit group. Apprentices are also included in this unit group."
63210,Hairstylists and barbers,"Hairstylists and barbers cut and style hair and perform related services. They are employed in hairstyling or hairdressing salons, barber shops, vocational schools, health care establishments and theatre, film and television establishments. Apprentices are also included in this unit group."
63211,"Estheticians, electrologists and related occupations","Estheticians, electrologists and workers in related occupations provide facial and body treatments designed to enhance an individual's physical appearance. They are employed in beauty salons, electrolysis studios, scalp treatment and hair replacement clinics and other similar establishments and in cosmetic departments of retail establishments such as pharmacies and department stores, or they may be self-employed."
63220,Shoe repairers and shoemakers,"Shoe repairers repair footwear and shoemakers make specialized and custom shoes and boots. They are employed in shoe repair shops or custom shoemaking establishments, or they may be self-employed."
63221,Upholsterers,"Upholsterers cover furniture, fixtures and similar items with fabric, leather or other upholstery materials. They are employed by furniture, aircraft, motor vehicle and other manufacturing companies, furniture retail outlets and repair shops or they may be self-employed."
64100,Retail salespersons and visual merchandisers,"Retail salespersons sell, rent or lease a range of technical and non-technical goods and services directly to consumers. Visual merchandisers plan, create and implement windows and in-store displays. They are employed by stores and other retail businesses, as well as wholesale businesses that sell on a retail basis to the public."
64101,Sales and account representatives - wholesale trade (non-technical),"Sales representatives in wholesale trade (non-technical), sell non-technical goods and services to retail, wholesale, commercial, industrial, professional and other clients domestically and internationally. They are employed by establishments that produce or provide goods and services such as petroleum companies, food, beverage and tobacco producers, clothing manufacturers, motor vehicles and parts manufacturers, hotels, business services firms, and transportation companies. Auctioneers are included in this unit group. Sales representatives in wholesale trade who are supervisors are also included in this unit group."
64200,"Tailors, dressmakers, furriers and milliners","Tailors, dressmakers and furriers make, alter and repair tailored clothing, dresses, coats and other made-to-measure garments. Milliners make, alter and repair hats. This unit group also includes alterationists who fit, alter and repair garments. They are employed by clothing retailers, clothing alteration shops, dry cleaners and garment manufacturing companies or they may be self-employed."
64201,"Image, social and other personal consultants","Image, social and other personal consultants advise clients on their personal appearance, speaking style, manners or other behaviours in order to improve personal or business images. They are employed by beauty salons, fashion boutiques, modelling schools, image consulting companies, weight loss centres or they may be self-employed."
64300,Maîtres d'hôtel and hosts/hostesses,"Maîtres d'hôtel and hosts/hostesses greet patrons and escort them to tables, and supervise and coordinate the activities of food and beverage servers. They are employed in restaurants, hotel dining rooms, private clubs, cocktail lounges and similar establishments."
64301,Bartenders,"Bartenders mix and serve alcoholic and non-alcoholic beverages. They are employed in restaurants, hotels, bars, taverns, private clubs, banquet halls and other licensed establishments. Supervisors of bartenders are included in this unit group."
64310,Travel counsellors,"Travel counsellors advise clients on travel options and tour packages, make bookings and reservations, prepare tickets and receive payment. They are employed in travel agencies, transportation and tourism firms and hotel chains."
64311,Pursers and flight attendants,Pursers and flight attendants ensure the safety and comfort of passengers and crew members during flights. Ship pursers attend to the safety and comfort of passengers aboard ships. Airline pursers and flight attendants are employed by airline companies. Ship pursers are employed by tour boat or cruise ship companies.
64312,Airline ticket and service agents,"Airline ticket and service agents issue tickets, provide fare quotations, make reservations, conduct passenger check-in, trace missing baggage, arrange for cargo shipments and perform other related customer service duties to assist airline passengers. They are employed by airline companies."
64313,"Ground and water transport ticket agents, cargo service representatives and related clerks","Ground and water transport ticket agents, cargo service representatives and related clerks, quote fares and rates, make reservations, issue tickets, process cargo shipments, check baggage and perform other related customer service duties to assist travellers. They are employed by bus and railway companies, freight forwarding and shipping companies, boat cruise operators and other public transit establishments and by travel wholesalers."
64314,Hotel front desk clerks,"Hotel front desk clerks make room reservations, provide information and services to guests and receive payment for services. They are employed by hotels, motels and resorts."
64320,Tour and travel guides,"Tour and travel guides escort individuals and groups on trips, on sightseeing tours of cities and on tours of historical sites and establishments such as famous buildings, manufacturing plants, cathedrals and theme parks. They also provide descriptions and background information on interesting features. They are employed by tour operators, resorts and other establishments or may be self-employed."
64321,Casino workers,"Casino workers operate gaming tables, assist patrons using slot machines, accept keno wagers, pay out winning bets and jackpots and collect losing bets. They are employed by casinos."
64322,Outdoor sport and recreational guides,"Outdoor sport and recreational guides organize and conduct trips or expeditions for sports enthusiasts, adventurers, tourists and resort guests. They are employed by private companies and resorts or may be self-employed."
64400,Customer services representatives - financial institutions,"Customer services representatives in financial institutions process customers' financial transactions and provide information on related banking products and services. They are employed by banks, trust companies, credit unions and similar financial institutions."
64401,Postal services representatives,"Postal services representatives serve customers and record transactions at sales counters and postal wickets. They maintain inventory and order supplies in post offices and internal mail rooms. They are employed by Canada Post Corporation, courier and parcel express companies and establishments throughout the public and private sectors."
64409,Other customer and information services representatives,"Other customer and information services representatives answer enquiries, provide information regarding an establishment's goods, services and policies and provide customer services such as receiving payments and processing requests for services. They are employed by retail establishments, contact centres, insurance, telecommunications and utility companies and other establishments throughout the public and private sectors."
64410,Security guards and related security service occupations,"Security guards and workers in related security service occupations guard and implement security measures to protect property against theft, vandalism and fire; to control access to establishments; to maintain order and enforce regulations at public events and within establishments; to perform screening of passengers, luggage or cargo; to conduct private investigations for clients or employers and to provide other protective services not elsewhere classified. They are employed by public or private security agencies, residential complexes, educational, cultural, financial and health institutions, retail establishments, investigation service companies, transportation facilities, and organizations throughout the public and private sectors, or they may be self-employed."
65100,Cashiers,"Cashiers operate cash registers, optical price scanners, computers or other equipment to record and accept payment for the purchase of goods, services and admissions. They are employed in stores, restaurants, theatres, recreational and sports establishments, currency exchange booths, government offices, business offices and other service, retail and wholesale establishments."
65101,Service station attendants,"Service station attendants employed in automotive service stations sell fuel and other automotive products and perform such services as fuelling, cleaning, lubricating and performing minor repairs to motor vehicles. Those employed in marinas sell fuel, rent boats and related equipment, and maintain marina facilities."
65102,"Store shelf stockers, clerks and order fillers","Store shelf stockers, clerks and order fillers pack customers' purchases, price items, stock shelves with merchandise, and fill online, mail and telephone orders. They are employed in retail establishments, such as grocery, hardware and department stores, and in warehouses."
65109,Other sales related occupations,"Workers in other sales related occupations sell goods or services during home demonstrations or by telephone soliciting, retail exhibitions or street vending. They are employed by a wide range of retail and wholesale establishments, manufacturers, telemarketing companies and call centres, or they may be self-employed."
65200,Food and beverage servers,"Food and beverage servers take patrons' food and beverage orders and serve orders to patrons. They are employed in restaurants, hotels, bars, taverns, private clubs, banquet halls and similar establishments."
65201,"Food counter attendants, kitchen helpers and related support occupations","Food counter attendants and food preparers prepare, heat and finish cooking simple food items and serve customers at food counters. Kitchen helpers, food service helpers and dishwashers clear tables, clean kitchen areas, wash dishes, and perform various other activities to assist workers who prepare or serve food and beverages. They are employed by restaurants, cafés, hotels, fast food outlets, cafeterias, hospitals and other establishments."
65202,Meat cutters and fishmongers - retail and wholesale,"Meat cutters and fishmongers prepare and package pieces of meat, poultry and fish that are sold by food retailers or wholesalers. They use tools to cut, trim and package meat, poultry and fish on a daily basis. They are employed in grocery stores, fish stores, or they may be self-employed."
65210,"Support occupations in accommodation, travel and facilities set-up services","Workers in support occupations in accommodation, travel and facilities set-up services escort guests to their rooms, carry travellers' luggage at airports, in railway stations and aboard ships, clean and maintain public areas and passengers' rooms aboard ships and trains, and set up rooms and associated furnishings, commercial displays, exhibits, equipment and booths in facilities and establishments. They are employed by hotels, conference centres, retail establishments, passenger transport companies and throughout the private and public sectors."
65211,"Operators and attendants in amusement, recreation and sport","Operators and attendants in amusement, recreation and sport assist patrons, collect tickets and fees and supervise the use of recreational and sports equipment. They are employed by amusement parks, fairs, exhibitions, carnivals, arenas, billiard parlours, bowling alleys, golf courses, ski centres, tennis clubs, campgrounds and other recreational and sports facilities."
65220,Pet groomers and animal care workers,"Animal care workers feed, handle, train and groom animals and assist veterinarians, animal health technologists and technicians and animal breeders. Pet groomers clip coats, bathe and otherwise groom pets. They are employed by animal hospitals and clinics, animal shelters, breeding and boarding kennels, zoos, laboratories, retail pet shops, dog training schools, pet grooming establishments, or may be self-employed."
65229,Other support occupations in personal services,"Workers in other support occupations in personal services provide psychic consulting, fortune-telling, astrological services and other personal services. They are employed by call centres and personal service establishments, or are self-employed."
65310,Light duty cleaners,"Light duty cleaners clean lobbies, hallways, offices and rooms of hotels, motels, resorts, hospitals, schools, office buildings and private residences. They are employed by hotels, motels, resorts, recreational facilities, hospitals and other institutions, building management companies, cleaning service companies and private individuals. Housekeepers perform housekeeping duties in residential, and institutional settings."
65311,Specialized cleaners,"Specialized cleaners clean and refurbish building exteriors, carpets, chimneys, industrial equipment, ventilation systems, windows and other surfaces, using specialized equipment and techniques. They are employed by specialized cleaning service companies or they may be self-employed."
65312,"Janitors, caretakers and heavy-duty cleaners","Janitors, caretakers and heavy-duty cleaners clean and maintain the interior and exterior of commercial, institutional and residential buildings and their surrounding grounds. They are employed by office and apartment building management companies, condominium corporations, educational institutions, health care facilities, recreational and shopping facilities, religious, industrial and other establishments."
65320,"Dry cleaning, laundry and related occupations","Dry cleaning and laundry machine operators operate machines to dry-clean or launder garments and other articles. Dry cleaning and laundry inspectors and assemblers check finished garments and other articles to ensure that they meet required standards for dry-cleaning, laundering and pressing, and assemble and bag finished garments and other articles. This unit group also includes workers who iron, press or otherwise finish garments and household articles. They are employed in dry cleaning, laundry and fur cleaning establishments, and in the laundries of hotels, hospitals and other institutions."
65329,Other service support occupations,Workers in other service support occupations perform a range of services. They are employed in a wide variety of establishments: places of employment are usually indicated in the job title.
70010,Construction managers,"Construction managers plan, organize, direct, control and evaluate the activities of a construction company or a construction department within a company, under the direction of a general manager or other senior manager. They are employed by residential, commercial and industrial construction companies and by construction departments of companies outside the construction industry."
70011,Home building and renovation managers,"Home building managers own, operate and manage companies engaged in the construction of new residential homes. Home renovation managers own, operate and manage companies engaged in the renovation of existing residential homes."
70012,Facility operation and maintenance managers,"Facility operation managers plan, organize, direct, control and evaluate the operations of commercial, transportation and recreational facilities and the included real estate. Facility operation managers are employed by a wide range of establishments, such as airports, harbours, canals, shopping centres, convention centres, warehouses and recreational facilities. Maintenance managers plan, organize, direct, control and evaluate the maintenance department within commercial, industrial, institutional, recreational and other facilities. Maintenance managers are employed by a wide range of establishments, such as office buildings, shopping centres, airports, harbours, warehouses, grain terminals, universities, schools and sports facilities, and by the maintenance and mechanical engineering departments of manufacturing and other industrial establishments."
70020,Managers in transportation,"Managers in transportation operations plan, organize, direct, control and evaluate the operations of transportation companies such as railways, airlines, bus lines, municipal transit systems, shipping lines and trucking companies, under the direction of a general manager or another senior manager. Managers in transportation freight traffic plan, organize, direct, control and evaluate companies or departments responsible for the transportation and movement of goods, under the direction of a general manager or another senior manager. They are employed by transportation, freight forwarding and shipping companies and by transportation departments of companies in retail and manufacturing sectors and utilities."
70021,Postal and courier services managers,"Postal and courier services managers plan, organize, direct, control and evaluate the activities and operations in postal facilities and in establishments that provide courier services. They are employed by Canada Post Corporation and by courier companies."
72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","Contractors and supervisors in machining, metal forming, shaping and erecting trades and related occupations supervise and coordinate the activities of workers classified in the following unit groups: Machinists and machining and tooling inspectors (72100), Tool and die makers (72101), Sheet metal workers (72102), Boilermakers (72103), Structural metal and platework fabricators and fitters (72104), Ironworkers (72105), Welders and related machine operators (72106) and Machining tool operators (94106). They are employed by structural, platework and related metal products fabrication, manufacturing and erecting companies and machine shops. Contractors may be self-employed."
72011,"Contractors and supervisors, electrical trades and telecommunications occupations","Contractors and supervisors in electrical trades and telecommunications occupations supervise and coordinate the activities of workers classified in the following unit groups: Electricians (72200), Industrial electricians (72201), Power system electricians (72202), Electrical power line and cable workers (72203), Telecommunications line and cable installers and repairers (72204) and Telecommunications equipment installation and cable television service technicians (72205). They are employed in a wide range of establishments; places of employment are indicated in the above unit group descriptions. Contractors may be self-employed."
72012,"Contractors and supervisors, pipefitting trades","Contractors and supervisors in pipefitting trades supervise and coordinate the activities of workers classified in the following unit groups: Plumbers (72300), Steamfitters, pipefitters and sprinkler system installers (72301) and Gas fitters (72302). They are employed by construction companies, mechanical, plumbing and pipefitting trade contractors and maintenance departments of industrial, commercial and manufacturing establishments. Contractors may be self-employed."
72013,"Contractors and supervisors, carpentry trades","Contractors and supervisors in carpentry trades supervise and coordinate the activities of workers classified in the following unit groups: Carpenters (72310) and Cabinetmakers (72311). They are employed by construction companies, carpentry contractors, maintenance departments of industrial establishments, and custom furniture and fixture manufacturing or repair companies. Contractors may be self-employed."
72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers","Contractors and supervisors, other construction trades, installers, repairers and servicers supervise and coordinate the activities of various tradespersons, installers, repairers and servicers classified in the following minor groups: Bricklayers and Insulators (7232), Concrete finishers, tilesetters and plasterers (7310), Roofers, Glaziers, Painters, decorators and floor covering installers (7311) and Building maintenance installers, servicers and repairers (7320). They are employed by a wide range of establishments; places of employment are indicated in the unit group descriptions. Contractors may be self-employed. This unit group also includes prefabricated product installation and service contractors and proprietors of some repair and service establishments."
72020,"Contractors and supervisors, mechanic trades","Contractors and supervisors in mechanic trades supervise and coordinate the activities of workers classified in unit groups within the following minor groups: Machinery and transportation equipment mechanics (except motor vehicle) (7240), Automotive service technicians (7241) and Small motor, engine and equipment mechanics and related repairers (including electrical components) (7242). They are employed in a wide range of establishments; places of employment are indicated in the unit group descriptions of the above minor groups. Contractors may be self-employed."
